Season,SRS,SOS,Team_Id
2009,12.43,8.43,1458
2010,17.84,7.66,1458
2012,19.04,8.24,1458
2011,18.77,9.42,1458
2013,18.76,9.73,1458
2014,19.69,10.19,1458
2015,24.61,10.29,1458
2016,13.4,9.4,1458
2017,19.37,8.84,1458
2010,4.43,-2.57,1459
2011,4.35,-1.21,1459
2014,-4.32,-5.95,1459
2015,2.56,-2.98,1459
2007,1.94,-0.31,1460
2015,3.81,-0.04,1461
2003,16.08,4.61,1462
2004,13.84,5.84,1462
2006,10.11,1.99,1462
2007,14.18,3.39,1462
2008,17.17,5.47,1462
2009,14.45,4.65,1462
2010,16.23,5.94,1462
2012,9.59,6.22,1462
2011,11.88,4.41,1462
2014,11.84,8.14,1462
2015,15.42,9.48,1462
2016,18.58,8.43,1462
2017,14.41,11.14,1462
2016,9.08,-1.03,1463
